Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Китайский язык	Китайский язык 2022-2023 1-5 класс (ул.Барклая д.15 к.3) (платно)	Китайский язык 2022-2023 1-5 класс (ул.Барклая д.15 к.3) (платно) №3 1-4 класс	Ознакомительный	6 - 16		Нет		Групповая
Китайский язык	Китайский язык 2022-2023 1-5 класс (Б.Филевская д.15) (платно)	Китайский язык 2022-2023 1-5 класс (Б.Филевская 15) (платно) №2 5-10 класс	Ознакомительный	6 - 16		Нет		Групповая
Китайский язык	Китайский язык 2022-2023 1-5 класс (Б.Филевская д.15) (платно)	Китайский язык 2022-2023 1-5 класс (Б.Филевская 15) (платно) №1 1-4 класс	Ознакомительный	6 - 16		Нет		Групповая
Английский язык	Английский на 5+ 2022-2023 5 класс (Артенян С.А. - Филёвский б-р д.3 к.2) (платно)	Английский на 5+ 2022-2023 5 класс (Артенян С.А. - Филёвский б-р д.3 к.2) (платно)	Ознакомительный	10 - 11		Нет		Групповая
Интеллектуальное развитие	Занимательная логика-2 2022-2023 5-7 лет (Горященко СВ - Филевский б-р 1-2) (платно)	Занимательная логика-2 2022-2023 5-7 лет (Горященко СВ - Филевский б-р 1-2) (платно)	Ознакомительный	4 - 7		Нет		Групповая
Английский язык	Английский язык для дошкольников 2022-2023 (Осколкова МА - Барклая 5-5) (платно)	Английский язык для дошкольников 2022-2023 (Осколкова Барклая 5-5) (платно) №4	Ознакомительный	3 - 6		Нет		Групповая
Английский язык	Английский+ 2022-2023 1-3 класс (1-2 класс-Иванова НВ; 3 класс-Спиряева ТВ - Б.Филевская 15) (платно)	Английский+ 2022-2023 1-2 класс ( Иванова НВ - Б.Филевская 15) (платно)	Ознакомительный	6 - 10		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 3к Полоник ЛА	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Б.Филевская д.15) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Б.Филевская д.15) (платно) 1 и 4 кл Деева ИА/Курячева СС	Ознакомительный	6 - 11		Нет		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Новозаводская 19) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Новозаводская 19) (платно) Федорова ГА №2	Ознакомительный	5 - 7		Нет		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Новозаводская 19) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Новозаводская 19) (платно) Данилина ИВ №1	Ознакомительный	5 - 7		Нет		Групповая
Русский язык и культура речи	Путь к знаниям 2022-2023 10-11 класс (Жукова С.И. -Б.Филевская, 15) (платно)	Путь к знаниям 2022-2023 10-11 класс (Жукова С.И. -Б.Филевская, 15) (платно)	Ознакомительный	15 - 18		Нет		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет) 8и Мелихова ЕМ	Ознакомительный	13 - 18		Да		Групповая
