Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Компьютерные технологии, программирование, робототехника	Программирование-6т, 6и 2022-2023 6 классы (Зверков ПС - Б.Филевская 15) (бюджет)	Программирование-6т, 6и 2022-2023 6 классы (Зверков ПС - Б.Филевская 15) (бюджет)	Ознакомительный	11 - 13		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль 2022-2023 9М (Анисимова Е.В. - Барклая 15-3) (бюджет)	Математическая вертикаль 2022-2023 9М (Анисимова Е.В. - Барклая 15-3) (бюджет)	Ознакомительный	14 - 16		Да		Групповая
Швейное дело	Милые мелочи. Студия "Комильфо" 2022-2023 7-10 класс (Клюева СЕ - Филёвский б-р д.3 к.2) (бюджет)	Милые мелочи. Студия "Комильфо" 2022-2023 7-10 класс (Клюева СЕ - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	12 - 17		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 4З (Бурдюгова А.С. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 4З (Бурдюгова А.С. - Б.Филевская д.15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Швейное дело	Милые мелочи. Студия "Комильфо" 2022-2023 5-6 класс (Клюева СЕ - Филёвский б-р д.3 к.2) (бюджет)	Милые мелочи. Студия "Комильфо" 2022-2023 5-6 класс (Клюева СЕ - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	10 - 13		Да		Групповая
авиа-, авто-, судо-, железнодорожное моделирование	Авиа и ракетомоделирование. Часть I 2022-2023 2-4 класс (Наумов АА - Филевский б-р 3-2) (бюджет)	Авиа и ракетомоделирование. Часть I 2022-2023 2-4 класс (Наумов АА - Филевский б-р 3-2) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
авиа-, авто-, судо-, железнодорожное моделирование	Авиа и ракетомоделирование. Часть II 2022-2023 2-4 класс (Наумов АА - Филевский б-р 3-2) (бюджет)	Авиа и ракетомоделирование. Часть II 2022-2023 2-4 класс (Наумов АА - Филевский б-р 3-2) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Математическая шкатулка 2022-2023 1Б (Желенкова М.В. - Филёвский б-р д.3 к.2) (бюджет)	Математическая шкатулка 2022-2023 1Б (Желенкова М.В. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Математические задачи повышенной сложности	На просторах математики-2 2022-2023 4 класс ( Рашпелева Е.В. - Б.Филевская 15) (платно)	На просторах математики-2 2022-2023 4 класс ( Рашпелева Е.В. - Б.Филевская 15) (платно)	Ознакомительный	8 - 11		Нет		Групповая
Компьютерные технологии, программирование, робототехника	Робототехника VEX EDR-2 2022-2023 5-11 классы (Трушин ПС - Б.Филевская 15) (платно)	Робототехника VEX EDR-2 2022-2023 5-11 классы (Трушин ПС - Б.Филевская 15) (платно) №1	Ознакомительный	9 - 18		Нет		Групповая
Математические задачи повышенной сложности	В мире чисел 2022-2023 1К (Богданова С.Ю. - Барклая д. 15 к.3) (бюджет)	В мире чисел 2022-2023 1К (Богданова С.Ю. - Барклая д. 15 к.3) (бюджет)	Ознакомительный	6 - 8		Да		Групповая
Математические задачи повышенной сложности	Математическая шкатулка школьникам 2022-2023 2Л (Арутюнян МР - Барклая д.15 к.3) (бюджет)	Математическая шкатулка школьникам 2022-2023 2Л (Арутюнян МР - Барклая д.15 к.3) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Решение математических задач 2022-2023 3Р (Ляпина Н.И. - Новозаводская д.19) (бюджет)	Решение математических задач 2022-2023 3Р ( Ляпина Н.И.- Новозаводская д.19) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Математические задачи повышенной сложности	Тайны математики 2022-2023 6Б (Кушунина А. И. - Филёвский б-р д.3 к.2) (бюджет)	Тайны математики 2022-2023 6Б (Кушунина А. И. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	11 - 13		Да		Групповая
Математические задачи повышенной сложности	Решение задач повышенной сложности 2022-2023 6Н (Андреева М.В. - Новозаводская, 19) (бюджет)	Решение задач повышенной сложности 2022-2023 6Н (Андреева М.В. - Новозаводская, 19) (бюджет)	Ознакомительный	11 - 13		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль, алгебра 2022-2023 9Е (Акимов В.М. - Б.Филевская,15) (бюджет)	Математическая вертикаль, алгебра 2022-2023 9Е (Акимов В.М. - Б.Филевская,15) (бюджет)	Ознакомительный	14 - 16		Да		Групповая
Математические задачи повышенной сложности	Интересная математика 2022-2023 1Д (Шишлова С.В. - Филёвский б-р д.3 к.2) (бюджет)	Интересная математика 2022-2023 1Д (Шишлова С.В. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	6 - 7		Да		Групповая
Математические задачи повышенной сложности	Практикум по решению задач-5 2022-2023 5Н (Кузнецова Т.Г. - Новозаводская,19) (бюджет)	Практикум по решению задач-5 2022-2023 5Н (Кузнецова Т.Г. - Новозаводская,19) (бюджет)	Ознакомительный	10 - 11		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 1З (Смолякова К.А - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 1З (Смолякова К.А - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 3Э (Чернышева Е.В. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 3Э (Чернышева Е.В. - Б.Филевская д.15) (платно)	Ознакомительный	7 - 9		Нет		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 3Е (Сухомлина Е.В. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 3Е (Сухомлина Е.В. - Б.Филевская д.15) (платно)	Ознакомительный	8 - 9		Нет		Групповая
ЮИД (Юные инспектора дорожного движения)	Юный пешеход 2022-2023 (Губанова Н.И. - Береговой пр-д 1Б) (сад)	Юный пешеход 2022-2023 (Губанова Н.И. - Береговой пр-д 1Б) (сад)	Ознакомительный	5 - 7		Да		Групповая
