Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Шахматы	Шахматы дошкольникам 2022-2023 (Швыркунова  ЕВ - Береговой пр-д 1Б) (платно)	Шахматы дошкольникам 2022-2023 (Швыркунова  ЕВ - Береговой пр-д 1Б) (платно) гр.2	Ознакомительный	4 - 7		Нет		Групповая
Танцевальный спорт	Спортивные бальные танцы 2022-2023 1-11 классы (Лыков Р.Ю. - Б.Филевская 15) (Платно)	Спортивные бальные танцы 2022-2023 1-11 классы (Лыков Р.Ю. - Б.Филевская 15) (Платно) №1	Ознакомительный	6 - 18		Нет		Групповая
Баскетбол	Баскетбол «Звезда» 6+,11+ 2022-2023 1-6 класс (Бабинцев МЮ - Филёвский б-р д.3 к.2) (платно)	Баскетбол «Звезда»11+ 2022-2023 1-6 класс (Бабинцев МЮ - Филёвский б-р д.3 к.2) (платно)№2	Ознакомительный	6 - 12		Нет		Групповая
Футбол	Мини-футбол 2022-2023 1-5 классы (Третьяков А.П. - Филевский б 3-2) (платно)	Мини-футбол 2022-2023 1-5 классы (Третьяков А.П. - Филевский б 3-2) (платно)	Ознакомительный	6 - 12		Нет		Групповая
Шахматы	Шахматы дошкольникам 2022-2023 (Швыркунова  ЕВ - Береговой пр-д 1Б) (платно)	Шахматы дошкольникам 2022-2023 (Швыркунова  ЕВ - Береговой пр-д 1Б) (платно)гр.1	Ознакомительный	4 - 7		Нет		Групповая
Волейбол	Волейбол 10+ 2022-2023 5-11 классы (Кунин ИА/Хуснутдинов ФФ - Б.Филевская д.15) (платно)	Волейбол 10+ 2022-2023 5-7 классы (Хуснутдинов ФФ - Б.Филевская д.15) (платно) гр 1 Кунин ИА	Ознакомительный	10 - 18		Нет		Групповая
Футбол	Футбол для школьников/дошкольников-1 2022-2023 4-7 лет, 1-4 класс (Малиновский А. - Новозаводская 19) (платно)	Футбол для школьников/дошкольников-1 2022-2023 4-7 лет, 1-4 класс (Малиновский А. - Новозаводская 19) (платно)гр.8	Ознакомительный	3 - 11		Нет		Групповая
ОФП	Ритмика для малышей-2 3-5 лет 2022-2023 (Бокусова ВВ - Тучковская 5) (платно)	ОФП, Ритмика для малышей-3 3-5 лет 2022-2023 (Бокусова В.В.-Тучковская 5) (платно) №3	Ознакомительный	2 - 5		Нет		Групповая
Тхэквондо	ОФП с элементами тхэквандо 2022-2023 (дошкольники) (Сазонов ВА/Ярцев ВА - Физкультурный п-д д 8) (платно)	ОФП с элементами тхэквандо 2022-2023 (дошкольники) (Ярцев ВА - Физкультурный п-д д 8) (платно) №3/была №1 /Сазонов ВА	Ознакомительный	4 - 7		Нет		Групповая
Тхэквондо	ОФП с элементами тхэквандо 2022-2023 (дошкольники) (Сазонов ВА/Ярцев ВА - Физкультурный п-д д 8) (платно)	ОФП с элементами тхэквандо 2022-2023 (дошкольники) (Ярцев ВА - Физкультурный п-д д 8) (платно) №2 Сазонов ВА	Ознакомительный	4 - 7		Нет		Групповая
